chemin, class, class_LOC, classe_CLOC, classe_DC
/Users/davejoseph/Desktop/TestIFT3913/.DS_Store, .DS_Store, 5, 0, 0.0, 
/Users/davejoseph/Desktop/TestIFT3913/cour0_3275.java, cour0_3275.java, 39, 33, 0.8461538461538461, 
/Users/davejoseph/Desktop/TestIFT3913/cours2/.DS_Store, .DS_Store, 2, 0, 0.0, 
/Users/davejoseph/Desktop/TestIFT3913/cours2/cours2_2/.DS_Store, .DS_Store, 8, 0, 0.0, 
/Users/davejoseph/Desktop/TestIFT3913/cours2/cours2_2/cour2_2_3275.java, cour2_2_3275.java, 39, 33, 0.8461538461538461, 
/Users/davejoseph/Desktop/TestIFT3913/cours2/cours2_2/cours2_2_2/cour2_2_2_3275.java, cour2_2_2_3275.java, 39, 33, 0.8461538461538461, 
/Users/davejoseph/Desktop/TestIFT3913/cours1/.DS_Store, .DS_Store, 2, 0, 0.0, 
/Users/davejoseph/Desktop/TestIFT3913/cours1/cour1_3275.java, cour1_3275.java, 39, 33, 0.8461538461538461, 
/Users/davejoseph/Desktop/TestIFT3913/cours1/cour1v2_3275.java, cour1v2_3275.java, 39, 33, 0.8461538461538461, 
/Users/davejoseph/Desktop/TestIFT3913/cours1/cours1_1/cour1_1_3275.java, cour1_1_3275.java, 39, 33, 0.8461538461538461, 
